No,Symb,Comp,market cap,stock price,change,revenue
82,TTD,"The Trade Desk, Inc.",34.74B,70.94,1.08%,1.83B
83,CSGP,"CoStar Group, Inc.",34.29B,83.98,0.14%,2.39B
84,EXC,Exelon Corporation,34.13B,34.28,-1.35%,21.03B
85,GFS,GLOBALFOUNDRIES Inc.,33.57B,60.69,0.45%,7.64B
86,ON,ON Semiconductor Corporation,32.87B,76.36,-0.51%,8.34B
87,GEHC,GE HealthCare Technologies Inc.,32.74B,71.91,-2.39%,19.28B
88,XEL,Xcel Energy Inc.,32.29B,58.5,-1.17%,14.82B
89,CCEP,Coca-Cola Europacific Partners PLC,31.01B,67.58,0.03%,19.80B
90,BKR,Baker Hughes Company,30.60B,30.43,-3.50%,25.51B
91,CDW,CDW Corporation,30.52B,227.81,1.33%,21.80B
92,MDB,"MongoDB, Inc.",30.35B,420.42,2.28%,1.59B
93,ANSS,"ANSYS, Inc.",29.80B,342.97,0.32%,2.16B
94,TTWO,"Take-Two Interactive Software, Inc.",28.53B,167.82,1.62%,5.44B
95,DLTR,"Dollar Tree, Inc.",28.42B,130.39,-0.77%,29.68B
96,FANG,"Diamondback Energy, Inc.",27.30B,152.61,0.75%,8.21B
97,SPLK,Splunk Inc.,25.84B,153.34,-,3.98B
98,WBD,"Warner Bros. Discovery, Inc.",25.53B,10.48,-0.62%,42.05B
99,ILMN,"Illumina, Inc.",22.32B,140.7,-0.04%,4.47B
100,SIRI,Sirius XM Holdings Inc.,20.71B,5.4,-0.83%,8.95B
101,WBA,"Walgreens Boots Alliance, Inc.",19.47B,22.57,-0.07%,142.41B
